cloudcast_count,freq
0.0,19442.0
3.0,2084.0
2.0,3402.0
1.0,6327.0
5.0,1010.0
9.0,326.0
4.0,1380.0
6.0,713.0
11.0,216.0
10.0,271.0
16.0,81.0
99.0,1.0
86.0,2.0
180.0,1.0
106.0,2.0
91.0,1.0
17.0,76.0
7.0,515.0
8.0,396.0
13.0,137.0
26.0,29.0
33.0,22.0
32.0,11.0
20.0,56.0
28.0,15.0
24.0,34.0
12.0,184.0
21.0,38.0
144.0,1.0
23.0,43.0
139.0,1.0
15.0,89.0
14.0,111.0
40.0,4.0
29.0,16.0
19.0,66.0
41.0,6.0
245.0,1.0
18.0,63.0
22.0,42.0
115.0,1.0
57.0,3.0
42.0,11.0
27.0,22.0
726.0,1.0
46.0,5.0
55.0,3.0
166.0,1.0
31.0,21.0
53.0,5.0
43.0,8.0
152.0,2.0
25.0,25.0
52.0,4.0
36.0,8.0
38.0,9.0
96.0,1.0
146.0,1.0
35.0,7.0
47.0,2.0
37.0,9.0
30.0,22.0
34.0,4.0
61.0,3.0
45.0,6.0
87.0,1.0
72.0,1.0
74.0,1.0
66.0,4.0
63.0,2.0
65.0,2.0
56.0,5.0
114.0,1.0
75.0,4.0
58.0,3.0
50.0,4.0
299.0,1.0
67.0,4.0
39.0,10.0
44.0,3.0
60.0,2.0
73.0,2.0
169.0,1.0
79.0,2.0
62.0,1.0
177.0,2.0
119.0,1.0
199.0,1.0
140.0,1.0
54.0,1.0
164.0,1.0
51.0,3.0
282.0,1.0
107.0,1.0
49.0,2.0
126.0,2.0
154.0,1.0
215.0,1.0
105.0,1.0
93.0,1.0
170.0,1.0
70.0,1.0
101.0,1.0
329.0,1.0
594.0,1.0
92.0,1.0
148.0,1.0
243.0,1.0
230.0,1.0
117.0,1.0
127.0,1.0
81.0,2.0
64.0,2.0
48.0,2.0
109.0,1.0
120.0,1.0
76.0,1.0
71.0,1.0
